LA_zacc,LA_xgyro,LA_ygyro,LA_zgyro,LA_xmag,LA_ymag,LA_zmag,RL_xacc,RL_yacc,RL_zacc,RL_xgyro,RL_ygyro,RL_zgyro,RL_xmag,RL_ymag,RL_zmag,LL_xacc,LL_yacc,LL_zacc,LL_xgyro,LL_ygyro,LL_zgyro,LL_xmag,LL_ymag,LL_zmag
5.159,0.079752,0.10807,1.4957,-0.020283,0.45361,-1.1463,-4.0211,3.278,5.0214,0.38692,-0.31575,-0.40201,0.16156,-0.70399,0.035577,-0.63758,-6.5228,4.0889,-2.2127,-1.2747,-0.92606,0.70577,0.24871,0.02383
7.3188,0.34947,0.52699,1.625,0.023043,0.42682,-1.155,-15.441,17.105,-8.9531,-1.529,-0.029925,-0.30585,0.17561,-0.71408,-0.034284,-7.878,-6.3355,-1.337,-2.7656,0.33433,-2.1933,0.70106,0.2839,0.056167
6.2802,0.06105,0.65157,0.99343,0.071037,0.42126,-1.1586,-5.0867,-16.906,2.7111,3.4748,-0.37449,0.54746,0.13909,-0.72985,0.006893,-23.764,-1.542,-0.84539,0.54323,-1.8026,-1.9844,0.65896,0.35983,0.072961
9.9498,-0.062437,0.35566,0.91164,0.11121,0.42228,-1.1519,-9.8986,-18.649,-8.4277,1.4299,1.4208,-3.0437,0.19081,-0.71105,0.070143,-20.542,-0.82442,-0.99819,1.3789,0.61228,-3.4226,0.6015,0.429,0.081204
9.8651,-0.060884,-0.5437,-0.08244,0.12845,0.45305,-1.1484,-26.343,2.9798,-0.46859,0.30825,-0.55983,-2.4981,0.32805,-0.6438,0.086854,-22.532,10.377,-1.5619,1.6047,-0.032231,-3.456,0.50154,0.53087,0.0896
7.9197,-0.042945,-1.263,-0.63021,0.07522,0.43881,-1.1608,-19.357,7.4555,-2.4189,-2.2969,0.58584,-3.0174,0.43117,-0.56561,0.075817,-15.206,10.225,-1.9988,0.2991,0.24623,-2.9097,0.423,0.58285,0.092341
8.4769,-0.54038,-1.3839,-0.69371,-0.004467,0.44353,-1.1613,-14.518,-2.5502,0.65284,-0.81518,0.13442,-3.0101,0.51435,-0.48459,0.064884,-11.418,8.8527,-1.3558,0.31894,0.2275,-1.2292,0.38355,0.59541,0.094283
6.5781,0.35021,-1.2537,-0.74707,-0.083809,0.43223,-1.16,-13.849,9.4835,0.28554,-0.061987,0.13156,-2.9988,0.56894,-0.38954,0.092033,-5.3581,11.96,1.1604,0.28082,0.19999,-0.36926,0.36036,0.60692,0.083298
3.9461,-0.16798,-0.4903,-0.31814,-0.13425,0.42142,-1.1623,-7.0869,17.352,2.9413,0.70265,-0.43695,-1.998,0.60156,-0.31452,0.11533,2.7531,-4.2273,5.3402,1.3783,-0.59454,1.1068,0.37821,0.60174,0.033266
4.0841,-0.38319,0.49855,0.006906,-0.13959,0.44187,-1.1579,0.1126,16.453,0.47594,1.4459,-0.38132,0.019964,0.59631,-0.28604,0.12834,0.075132,-20.114,-10.817,0.24963,2.1819,-0.52731,0.38991,0.59926,0.029988
5.3338,-0.11628,1.2167,0.39727,-0.093075,0.4615,-1.153,-4.7323,6.944,2.8874,1.6924,0.008084,1.6835,0.58294,-0.33273,0.11319,-2.7244,7.4631,6.3175,-1.0915,-1.6004,-0.55432,0.36756,0.61509,0.052879
9.5834,-0.36931,1.3784,0.2021,-0.021956,0.4706,-1.1493,-15.879,-1.129,-3.345,0.67144,0.29363,2.0332,0.57291,-0.4071,0.098662,-33.298,-25.556,-12.247,1.8778,2.5097,0.018872,0.36945,0.61852,0.068587
7.9171,0.36915,0.83089,0.32378,0.038258,0.48201,-1.1412,-16.314,2.9115,-1.5125,-1.2642,-0.43271,2.936,0.5087,-0.5198,0.05791,-0.30589,20.518,-2.4813,-3.5973,0.38923,-1.9223,0.34238,0.62052,0.12934
9.5417,-0.19034,0.31481,0.23317,0.072172,0.4672,-1.1408,-27.23,-7.242,-3.1763,-2.2022,0.23562,3.1841,0.41049,-0.62705,-0.003256,-25.485,14.898,-4.4981,-2.3781,-1.51,4.4701,0.39247,0.59005,0.16834
9.6461,0.12954,-0.33327,-0.24967,0.073245,0.47703,-1.1395,-16.672,-14.622,-2.0108,-0.34286,-0.21359,3.5685,0.26959,-0.7238,-0.039794,-21.986,-4.6454,-0.11402,0.82404,-0.086167,2.7507,0.48892,0.54643,0.12601
7.2947,-0.72324,-0.77331,-0.54649,0.037748,0.48823,-1.1362,-11.103,-11.863,-3.8226,1.2354,0.29693,2.6486,0.16261,-0.75844,-0.002782,-23.533,1.7227,0.90047,1.5441,0.3772,3.704,0.56937,0.48388,0.089595
6.5468,-0.19159,-0.91368,-0.72224,-0.016995,0.49288,-1.1335,-6.628,-9.4789,-1.1093,1.5621,0.66836,0.78982,0.12518,-0.74753,0.063502,-14.274,-7.0759,1.0406,0.18597,0.17584,3.4326,0.65311,0.38994,0.05083
7.1367,0.096549,-0.78643,-0.3081,-0.065549,0.49186,-1.1335,-1.0639,1.7482,7.7985,-1.5388,-0.73184,-0.37003,0.14068,-0.7322,0.078822,-12.966,-14.636,3.6495,-0.61488,-0.2876,2.8497,0.70512,0.2914,0.040579
5.4644,0.09001,-0.35105,0.3486,-0.090373,0.48454,-1.1394,-3.3254,11.278,0.86266,-3.5231,0.26156,0.52436,0.1358,-0.73145,0.006481,1.8473,-23.689,0.69301,-1.0234,0.040295,0.8286,0.72601,0.2286,0.041878
4.9635,0.17553,0.22043,1.026,-0.081409,0.49335,-1.1446,-3.0287,3.2228,1.215,0.40672,0.10609,-0.40458,0.13967,-0.72813,0.00156,-1.6082,-8.5918,3.1929,-1.1906,-1.568,-1.1408,0.7078,0.23547,0.043811
5.4627,0.098814,0.79578,1.333,-0.030798,0.49149,-1.1515,-6.0806,9.6901,-2.2896,-0.65611,-0.77768,-0.69459,0.1449,-0.73275,-0.033587,-7.5923,-5.4537,-1.8228,-2.088,0.40868,-2.4913,0.68061,0.29637,0.059245
6.8319,-0.31859,0.92306,0.9111,0.031746,0.50301,-1.1499,-11.838,-16.785,3.2131,3.1987,0.70218,0.57729,0.11529,-0.75045,-0.032056,-25.979,-0.89347,0.38144,0.27341,-0.96533,-2.4331,0.64184,0.37514,0.085862
